,name,meta_index,l_date,status_flag,label_set,label,provider,analysis_term,machine_sn,device_cfg,ch0:_#ec_i#0,ch1:_#ec_i#0,ch2:_#ec_i#0,ch3:_#ec_i#0,ch4:_#tm_c#0,ch5:_#rh_p#0,ch6:_#fm_sccm#0,ch0:_#ec_i#0:r,ch1:_#ec_i#0:r,ch2:_#ec_i#0:r,ch3:_#ec_i#0:r,ch4:_#tm_c#0:r,ch5:_#rh_p#0:r,ch6:_#fm_sccm#0:r
0,,,,,,,,,FT3WLPSW,,,,,,,,,,,,,,,
1,control_status,-1.0,2021-05-19T11:44:06.125+08:00,on_start,,,,,,,,,,,,,,,,,,,,
2,control_status,-1.0,2021-05-19T11:44:06.140+08:00,on_first_preset_voltage,,,,,,,,,,,,,,,,,,,,
3,preset_meta,-1.0,2021-05-19T11:44:06.140+08:00,,,,,,,"{'supply_voltage': 5.0, 'channel_biasing_resistance': [1, 1, 1, 1, 1, 1, 1], 'channel_reference_c': [None, None, None, None, None, None, None], 'channel_reference_voltage': [None, None, None, None, None, None, None], 'preset_flow': [5], 'channel_actual_gain': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'channel_preset_voltage': [1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]}",,,,,,,,,,,,,,
4,control_status,-1.0,2021-05-19T11:44:14.264+08:00,on_first_waiting_initial,,,,,,,,,,,,,,,,,,,,
5,data,0.0,2021-09-28T16:36:40.749421+08:00,,,,,,,,-5.859375,82.03125,-0.0,7.8125,25.994949,61.836243,0.293,-5.859375,82.03125,-0.0,7.8125,25.994949,61.836243,0.293
6,data,0.0,2021-09-28T16:36:41.758888+08:00,,,,,,,,-5.859375,83.984375,3.90625,7.8125,25.968246,61.773682,0.297,-5.859375,83.984375,3.90625,7.8125,25.968246,61.773682,0.297
7,data,0.0,2021-09-28T16:36:42.773001+08:00,,,,,,,,-7.8125,74.21875,-0.0,5.859375,25.925522,61.782837,0.293,-7.8125,74.21875,-0.0,5.859375,25.925522,61.782837,0.293
8,data,0.0,2021-09-28T16:36:43.790540+08:00,,,,,,,,-9.765625,83.984375,0.0,5.859375,25.984268,61.804199,0.297,-9.765625,83.984375,0.0,5.859375,25.984268,61.804199,0.297
9,data,0.0,2021-09-28T16:36:44.810612+08:00,,,,,,,,-5.859375,80.078125,1.953125,5.859375,25.973587,61.656189,0.288,-5.859375,80.078125,1.953125,5.859375,25.973587,61.656189,0.288
10,data,0.0,2021-09-28T16:36:45.821946+08:00,,,,,,,,-1.953125,87.890625,1.953125,3.90625,25.930862,61.805725,0.297,-1.953125,87.890625,1.953125,3.90625,25.930862,61.805725,0.297
11,data,0.0,2021-09-28T16:36:46.830982+08:00,,,,,,,,-3.90625,87.890625,-0.0,7.8125,25.949554,62.037659,0.293,-3.90625,87.890625,-0.0,7.8125,25.949554,62.037659,0.293
12,data,0.0,2021-09-28T16:36:47.839871+08:00,,,,,,,,-1.953125,74.21875,-0.0,7.8125,25.992279,61.891174,0.288,-1.953125,74.21875,-0.0,7.8125,25.992279,61.891174,0.288
13,data,0.0,2021-09-28T16:36:48.847330+08:00,,,,,,,,1.953125,80.078125,-0.0,7.8125,25.994949,61.810303,0.293,1.953125,80.078125,-0.0,7.8125,25.994949,61.810303,0.293
14,data,0.0,2021-09-28T16:36:49.858204+08:00,,,,,,,,-1.953125,82.03125,0.0,5.859375,25.992279,61.921692,0.293,-1.953125,82.03125,0.0,5.859375,25.992279,61.921692,0.293
15,data,0.0,2021-09-28T16:36:50.882086+08:00,,,,,,,,1.953125,62.5,-1.953125,7.8125,25.957565,61.878967,0.293,1.953125,62.5,-1.953125,7.8125,25.957565,61.878967,0.293
16,data,0.0,2021-09-28T16:36:51.897897+08:00,,,,,,,,-0.0,83.984375,0.0,5.859375,26.008301,61.801147,0.297,-0.0,83.984375,0.0,5.859375,26.008301,61.801147,0.297
17,data,0.0,2021-09-28T16:36:52.904946+08:00,,,,,,,,-9.765625,80.078125,-1.953125,5.859375,25.984268,61.941528,0.293,-9.765625,80.078125,-1.953125,5.859375,25.984268,61.941528,0.293
18,data,0.0,2021-09-28T16:36:53.926758+08:00,,,,,,,,-7.8125,76.171883,1.953125,5.859375,25.981598,61.759949,0.297,-7.8125,76.171883,1.953125,5.859375,25.981598,61.759949,0.297
19,data,0.0,2021-09-28T16:36:54.942648+08:00,,,,,,,,-11.71875,87.890625,0.0,5.859375,25.957565,61.936951,0.297,-11.71875,87.890625,0.0,5.859375,25.957565,61.936951,0.297
